강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 고창
기간 : 20160101~20200928

날짜,지점,강수량(mm)
2018-11-17,172,
2018-11-18,172,
2018-11-19,172,
2018-11-20,172,
2018-11-21,172,
2018-11-22,172,0
2018-11-23,172,
2018-11-24,172,3.5
2018-11-25,172,
2018-11-26,172,
2018-11-27,172,
2018-11-28,172,
2018-11-29,172,0
2018-11-30,172,
2018-12-01,172,
2018-12-02,172,0
2018-12-03,172,6.2
2018-12-04,172,16.9
2018-12-05,172,
2018-12-06,172,4.4
2018-12-07,172,1.8
2018-12-08,172,0.2
2018-12-09,172,0.3
2018-12-10,172,
2018-12-11,172,1.5
2018-12-12,172,
2018-12-13,172,0.4
2018-12-14,172,
2018-12-15,172,
2018-12-16,172,0
2018-12-17,172,0
2018-12-18,172,
2018-12-19,172,
2018-12-20,172,
2018-12-21,172,
2018-12-22,172,0
2018-12-23,172,0.9
2018-12-24,172,
2018-12-25,172,
2018-12-26,172,0.9
2018-12-27,172,0
2018-12-28,172,10.2
2018-12-29,172,2.4
2018-12-30,172,1.1
2018-12-31,172,
2019-01-01,172,0.4
2019-01-02,172,
2019-01-03,172,
2019-01-04,172,0
2019-01-05,172,0.1
2019-01-06,172,
2019-01-07,172,
2019-01-08,172,
2019-01-09,172,
2019-01-10,172,
2019-01-11,172,0
2019-01-12,172,3.8
2019-01-13,172,
2019-01-14,172,
2019-01-15,172,0
2019-01-16,172,
2019-01-17,172,0
2019-01-18,172,
2019-01-19,172,2.1
2019-01-20,172,0.3
2019-01-21,172,
2019-01-22,172,
2019-01-23,172,
2019-01-24,172,
2019-01-25,172,
2019-01-26,172,
2019-01-27,172,
2019-01-28,172,0
2019-01-29,172,
2019-01-30,172,0
2019-01-31,172,8.7
2019-02-01,172,0
2019-02-02,172,0
2019-02-03,172,10.6
2019-02-04,172,
2019-02-05,172,
2019-02-06,172,
2019-02-07,172,
2019-02-08,172,
2019-02-09,172,0
2019-02-10,172,
2019-02-11,172,
2019-02-12,172,
2019-02-13,172,
2019-02-14,172,
2019-02-15,172,0
2019-02-16,172,0
2019-02-17,172,
2019-02-18,172,0.6
2019-02-19,172,20.3
2019-02-20,172,0
2019-02-21,172,
2019-02-22,172,
2019-02-23,172,
2019-02-24,172,
2019-02-25,172,
2019-02-26,172,
2019-02-27,172,0
2019-02-28,172,
2019-03-01,172,
2019-03-02,172,
2019-03-03,172,0
2019-03-04,172,
2019-03-05,172,
2019-03-06,172,0
2019-03-07,172,
2019-03-08,172,
2019-03-09,172,0.1
2019-03-10,172,5.2
2019-03-11,172,1.7
2019-03-12,172,1
2019-03-13,172,
2019-03-14,172,
2019-03-15,172,1.4
2019-03-16,172,
2019-03-17,172,
2019-03-18,172,
2019-03-19,172,
2019-03-20,172,6
2019-03-21,172,0
2019-03-22,172,
2019-03-23,172,0
2019-03-24,172,
2019-03-25,172,
2019-03-26,172,
2019-03-27,172,
2019-03-28,172,
2019-03-29,172,
2019-03-30,172,2
2019-03-31,172,
2019-04-01,172,
2019-04-02,172,
2019-04-03,172,
2019-04-04,172,
2019-04-05,172,
2019-04-06,172,
2019-04-07,172,0.9
2019-04-08,172,
2019-04-09,172,32.8
2019-04-10,172,3.3
2019-04-11,172,
2019-04-12,172,
2019-04-13,172,
2019-04-14,172,2.1
2019-04-15,172,
2019-04-16,172,
2019-04-17,172,
2019-04-18,172,
2019-04-19,172,
2019-04-20,172,
2019-04-21,172,
2019-04-22,172,
2019-04-23,172,1.6
2019-04-24,172,
2019-04-25,172,3.4
2019-04-26,172,0.4
2019-04-27,172,0
2019-04-28,172,2.1
2019-04-29,172,32.5
2019-04-30,172,
2019-05-01,172,
2019-05-02,172,
2019-05-03,172,
2019-05-04,172,
2019-05-05,172,
2019-05-06,172,
2019-05-07,172,
2019-05-08,172,
2019-05-09,172,
2019-05-10,172,
2019-05-11,172,
2019-05-12,172,
2019-05-13,172,0
2019-05-14,172,0
2019-05-15,172,
2019-05-16,172,
2019-05-17,172,7.4
2019-05-18,172,23.4
2019-05-19,172,0.6
2019-05-20,172,1.3
